Here is the strict verified table.

| Category                     | Item                                                                   |        Status | Why                                                                                                                                                  |
| ---------------------------- | ---------------------------------------------------------------------- | ------------: | ---------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Confirmed issue**          | `/api/user` auth errors collapse to `500`                              |     Confirmed | This is a real backend behavior issue. Missing/expired auth should surface as `401`, not generic server failure.                                     |
| **Confirmed issue**          | Demo deposit flow still exposed in wallets UI                          |     Confirmed | “Simulate Demo Deposit” and immediate demo-style funding behavior remain in the UI, which is not suitable for real launch.                           |
| **Confirmed issue**          | FX trend display uses `Math.random()`                                  |     Confirmed | The UI presents fake movement/trend signals, which is misleading for a financial product.                                                            |
| **Confirmed issue**          | Hardcoded fallback FX/crypto rates in investments UI                   |     Confirmed | Rates like `CAD 0.75`, `AUD 0.67`, `BTC 42000`, `ETH 2500` are still present as fallbacks.                                                           |
| **Confirmed issue**          | Portfolio “real metrics” include modeled assumptions                   |     Confirmed | Expected return uses assumption buckets such as fiat `2%`, crypto `20%`, stablecoin `5%`, which should not be presented as truly real/live metrics.  |
| **Confirmed issue**          | Investment valuation can fall back to assumed product/category returns |     Confirmed | Some outputs can still be model-based rather than sourced from live/product-native valuation inputs.                                                 |
| **Confirmed issue**          | Historical performance partly uses `historical_estimate` snapshots     |     Confirmed | Risk/performance views are partly reconstructed, so users can over-trust precision unless clearly labeled.                                           |
| **Confirmed issue**          | Non-production auth shortcuts exist                                    |     Confirmed | Non-prod fallback JWT secret and plaintext password comparison are present and become risky outside strict local-only use.                           |
| **Confirmed issue**          | Forgot-password returns raw reset token outside production             |     Confirmed | Acceptable only for isolated local development; unsafe in shared staging.                                                                            |
| **Confirmed issue**          | Real DB is mandatory to run                                            |     Confirmed | `DATABASE_URL` is required and app hard-fails without it. This is operationally blocking for runtime verification.                                   |
| **Confirmed issue**          | Dependency vulnerabilities remain                                      |     Confirmed | `npm audit` reported vulnerabilities including high-severity items.                                                                                  |
| **Confirmed but contextual** | Missing full immutable double-entry ledger                             | Confirmed gap | This is a real controls/compliance gap for real-money launch, though not proof that current routes are syntactically broken.                         |

| Category             | Item                                                                          |     Status | Why                                                                                                                           |
| -------------------- | ----------------------------------------------------------------------------- | ---------: | ----------------------------------------------------------------------------------------------------------------------------- |
| **Overstated issue** | Active mixed `passport + express-session + JWT` auth is definitely running    | Overstated | Package presence alone does not prove those paths are actively wired into live request handling.                              |
| **Overstated issue** | Stripe webhook handling is definitely incomplete in active runtime            | Overstated | Stripe packages exist, but that alone does not prove active webhook routes are wired or broken.                               |
| **Overstated issue** | Ownership/authorization is broadly broken across primary routes               | Overstated | The main money-movement routes derive `userId` from `requireAuth(req)`, so the broad claim was too strong as written.         |
| **Overstated issue** | DB idempotency is not really enforced                                         | Overstated | The code uses a DB-backed `idempotency_keys` table with unique `(userId, route, key)` logic.                                  |
| **Overstated issue** | Standalone calc `.js` files are definitely the active live calculation engine | Overstated | The pasted audit treated them as live app-critical; that was not sufficiently proven from the actual imports/wiring checked.  |

| Category         | Exact patch needed                                         | Priority | Patch direction                                                                                                          |
| ---------------- | ---------------------------------------------------------- | -------: | ------------------------------------------------------------------------------------------------------------------------ |
| **Patch needed** | Preserve auth status codes in `/api/user`                  |       P0 | Catch auth errors explicitly and return `401`; reserve `500` for real server faults.                                     |
| **Patch needed** | Remove demo deposit UI/actions                             |       P0 | Delete “Simulate Demo Deposit” and any immediate demo balance mutation paths from `wallets` UI.                          |
| **Patch needed** | Remove fake FX trend rendering                             |       P0 | Replace `Math.random()` display logic with sourced values, or remove trend/percent entirely until real feed exists.      |
| **Patch needed** | Remove hardcoded valuation fallbacks                       |       P0 | Fail closed or show “rate unavailable” instead of using hardcoded FX/crypto constants for user-facing valuations.        |
| **Patch needed** | Separate estimated vs real portfolio metrics               |       P1 | Rename fields or split API outputs so modeled assumptions are not surfaced as “real metrics”.                            |
| **Patch needed** | Restrict non-production auth/reset shortcuts to local-only |       P1 | Gate by strict environment checks, not broad non-production behavior.                                                    |
| **Patch needed** | Dependency remediation                                     |       P1 | Upgrade vulnerable packages, re-run build/check/audit, and retest affected routes.                                       |
| **Patch needed** | Clear labeling for reconstructed historical data           |       P1 | Any chart/risk metric using `historical_estimate` should be visibly marked estimated/reconstructed.                      |
| **Patch needed** | Real runtime QA on provisioned DB                          |       P1 | Run end-to-end flows with a real Postgres/Neon instance because build success alone does not prove runtime correctness.  |
| **Patch needed** | Add ledger layer for real-money launch                     |       P2 | Introduce immutable ledger entries and reconciliation linkage without treating this as a compile fix.                    |

Bottom line: the app is **buildable**, but not yet **production-clean**. The strongest confirmed blockers are the demo funding paths, fake market presentation, hardcoded valuation fallbacks, modeled “real” metrics, and unsafe non-prod shortcuts. 

The next best step is a **file-by-file patch list** with exact filenames, issue summary, and replacement code.
