Period	RE Credit	RE Equity	RE Mortgage	Corp Credit	Security Credit	VC Fund	Total Return
Q3'24	$1,519	$1,711	$638	$2,320	-	-	$6,188.609
Q4'24	$3,824	$10,586	$3,944	$14,368	$6,303	$3,652	$42,676.278
Q1'25	$6,189	$19,685	$7,322	$26,736	$24,820	$14,450	$99,202.428
Q2'25	$8,885	$31,252	$10,429	$40,434	$55,014	$26,208	$172,222
Q3'25	$8,885	$41,078	$10,429	$54,456	$67,865	$34,156	$216,869
Q4'25 (Projection)	$8,885	$51,789	$10,429	$69,567	$81,892	$42,567	$166,051
Q1'26 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$215,420
Q2'26 (Projection)	$8,885	$75,789	$10,429	$103,234	$113,567	$60,897	$256,620
Q3'26 (Projection)	$8,885	$89,123	$10,429	$121,987	$131,234	$70,987	$298,220
Q4'26 (Projection)	$8,885	$103,456	$10,429	$142,134	$150,234	$81,789	$340,046
Q1'27 (Projection)	$8,885	$118,789	$10,429	$134,144	$170,567	$93,234	$382,466
Q2'27 (Projection)	$8,885	$135,234	$10,429	$134,144	$192,234	$105,456	$399,998
Q3'27 (Projection)	$8,885	$152,789	$10,429	$134,144	$248,133	$118,456	$418,593
Q4'27 (Projection)	$8,885	$171,456	$10,429	$134,144	$248,133	$132,234	$437,679
Q1'28 (Term Expiry)	$8,885	$182,950	$10,429	$134,144	$248,133	$146,789	$457,269
Q2'28 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$476,376
Q3'28 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$493,489
Q4'28 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$511,033
Q1'29 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$529,020
Q2'29 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$546,852
Q3'29 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$559,598
Q4'29 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$559,598
Q1'30 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$559,598
Q2'30 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$559,598
Q3'30 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$559,598
Q4'30 (Projection)	$8,885	$100,000	$10,429	$100,000	$150,000	$80,000	$559,598
